CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2024;Reclassements juillet 2024
67151;Gambsheim;67;Grand Est;B2;B1
67173;Griesheim-sur-Souffel;67;Grand Est;C;B1
67182;Hangenbieten;67;Grand Est;C;B1
67194;Herrlisheim;67;Grand Est;C;B1
67205;Hœrdt;67;Grand Est;B2;B1
67214;Hurtigheim;67;Grand Est;C;B1
67226;Ittenheim;67;Grand Est;C;B1
67237;Kilstett;67;Grand Est;B2;B1
67282;Marlenheim;67;Grand Est;B2;B1
67300;Molsheim;67;Grand Est;B2;B1
67313;Mutzig;67;Grand Est;B2;B1
67343;Oberhausbergen;67;Grand Est;B1;A
67375;Pfulgriesheim;67;Grand Est;C;B1
67411;Rosheim;67;Grand Est;B2;B1
67458;Schweighouse-sur-Moder;67;Grand Est;B2;B1
67462;Sélestat;67;Grand Est;B2;B1
67485;Stutzheim-Offenheim;67;Grand Est;C;B1
67495;Truchtersheim;67;Grand Est;C;B1
67520;Wasselonne;67;Grand Est;B2;B1
67529;Weyersheim;67;Grand Est;C;B1
68021;Bartenheim;68;Grand Est;B2;B1
68042;Blotzheim;68;Grand Est;B2;B1
68056;Brunstatt-Didenheim;68;Grand Est;B2;B1
68061;Buschwiller;68;Grand Est;B2;B1
68082;Ensisheim;68;Grand Est;B2;B1
68118;Habsheim;68;Grand Est;B2;B1
68120;Hagenthal-le-Bas;68;Grand Est;C;B1
68126;Hégenheim;68;Grand Est;B2;B1
68135;Hésingue;68;Grand Est;B2;B1
68145;Horbourg-Wihr;68;Grand Est;B2;B1
68155;Ingersheim;68;Grand Est;B2;B1
68162;Kaysersberg Vignoble;68;Grand Est;B2;B1
68163;Kembs;68;Grand Est;B2;B1
68269;Ribeauvillé;68;Grand Est;B2;B1
