CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2025;Reclassements 5 septembre 2025
61483;Bagnoles de l'Orne Normandie;61;Normandie;C;B2
62040;Arques;62;Hauts-de-France;B2;B1
62115;Berneville;62;Hauts-de-France;C;B2
62215;Carvin;62;Hauts-de-France;B2;B1
62263;Dainville;62;Hauts-de-France;B2;B1
62297;Éperlecques;62;Hauts-de-France;B2;B1
62447;Hesdin-la-Forêt;62;Hauts-de-France;C;B2
62510;Liévin;62;Hauts-de-France;B2;B1
62525;Longuenesse;62;Hauts-de-France;B2;B1
62744;Sainte-Catherine;62;Hauts-de-France;B2;B1
62753;Saint-Laurent-Blangy;62;Hauts-de-France;B2;B1
62757;Saint-Martin-lez-Tatinghem;62;Hauts-de-France;B2;B1
62764;Saint-Nicolas;62;Hauts-de-France;B2;B1
62765;Saint-Omer;62;Hauts-de-France;B2;B1
63063;Cébazat;63;Auvergne-Rhône-Alpes;B2;B1
64094;Bardos;64;Nouvelle-Aquitaine;C;B2
64129;Billère;64;Nouvelle-Aquitaine;B2;B1
64132;Bizanos;64;Nouvelle-Aquitaine;B2;B1
64160;Cambo-les-Bains;64;Nouvelle-Aquitaine;B2;B1
64213;Espelette;64;Nouvelle-Aquitaine;C;B2
64237;Gelos;64;Nouvelle-Aquitaine;B2;B1
64269;Idron;64;Nouvelle-Aquitaine;B2;B1
64284;Jurançon;64;Nouvelle-Aquitaine;B2;B1
64317;Larressore;64;Nouvelle-Aquitaine;B2;B1
64335;Lescar;64;Nouvelle-Aquitaine;B2;B1
64348;Lons;64;Nouvelle-Aquitaine;B2;B1
64445;Pau;64;Nouvelle-Aquitaine;B2;B1
64495;Saint-Pée-sur-Nivelle;64;Nouvelle-Aquitaine;B2;B1
65388;Saint-Lary-Soulan;65;Occitanie;C;B1
67130;Erstein;67;Grand Est;B2;B1
68112;Guebwiller;68;Grand Est;B2;B1
69027;Brignais;69;Auvergne-Rhône-Alpes;B1;A
69028;Brindas;69;Auvergne-Rhône-Alpes;B1;A
69063;Collonges-au-Mont-d'Or;69;Auvergne-Rhône-Alpes;B1;A
69086;Fleurieux-sur-l'Arbresle;69;Auvergne-Rhône-Alpes;B2;B1
69088;Fontaines-sur-Saône;69;Auvergne-Rhône-Alpes;B1;A
69094;Grézieu-la-Varenne;69;Auvergne-Rhône-Alpes;B1;A
69112;Lentilly;69;Auvergne-Rhône-Alpes;B1;A
69116;Limonest;69;Auvergne-Rhône-Alpes;B1;A
69127;Marcy-l'Étoile;69;Auvergne-Rhône-Alpes;B1;A
69149;Oullins-Pierre-Bénite;69;Auvergne-Rhône-Alpes;B1;A
69204;Saint-Genis-Laval;69;Auvergne-Rhône-Alpes;B1;A
69205;Saint-Genis-les-Ollières;69;Auvergne-Rhône-Alpes;B1;A
69233;Saint-Romain-au-Mont-d'Or;69;Auvergne-Rhône-Alpes;B1;A
69255;Vaugneray;69;Auvergne-Rhône-Alpes;B1;A
69277;Genas;69;Auvergne-Rhône-Alpes;B1;A
69280;Jons;69;Auvergne-Rhône-Alpes;C;B1
71153;Le Creusot;71;Bourgogne-Franche-Comté;C;B1
71306;Montceau-les-Mines;71;Bourgogne-Franche-Comté;C;B1
72073;Chaufour-Notre-Dame;72;Pays de la Loire;C;B2
72095;Coulaines;72;Pays de la Loire;B2;B1
72129;Fatines;72;Pays de la Loire;C;B2
72130;Fay;72;Pays de la Loire;C;B2
72247;Pruillé-le-Chétif;72;Pays de la Loire;C;B2
72280;Saint-Georges-du-Bois;72;Pays de la Loire;C;B2
72360;Trangé;72;Pays de la Loire;C;B2
73003;Grand-Aigueblanche;73;Auvergne-Rhône-Alpes;C;B1
73006;Aime-la-Plagne;73;Auvergne-Rhône-Alpes;B1;A
73015;Les Allues;73;Auvergne-Rhône-Alpes;C;A
73054;Bourg-Saint-Maurice;73;Auvergne-Rhône-Alpes;B1;A
73055;Bozel;73;Auvergne-Rhône-Alpes;C;A
73117;Fourneaux;73;Auvergne-Rhône-Alpes;C;B2
73150;La Plagne Tarentaise;73;Auvergne-Rhône-Alpes;B1;A
73151;Porte-de-Savoie;73;Auvergne-Rhône-Alpes;C;B1
73157;Modane;73;Auvergne-Rhône-Alpes;C;B2
73181;Moûtiers;73;Auvergne-Rhône-Alpes;C;B2
73227;Courchevel;73;Auvergne-Rhône-Alpes;B1;A
73232;Sainte-Foy-Tarentaise;73;Auvergne-Rhône-Alpes;C;B1
73248;Saint-Jean-de-Maurienne;73;Auvergne-Rhône-Alpes;C;B2
73257;Les Belleville;73;Auvergne-Rhône-Alpes;B1;A
73285;Séez;73;Auvergne-Rhône-Alpes;C;B1
73290;Val-Cenis;73;Auvergne-Rhône-Alpes;C;B1
73296;Tignes;73;Auvergne-Rhône-Alpes;B1;A
73304;Val-d'Isère;73;Auvergne-Rhône-Alpes;B1;A
73306;Valloire;73;Auvergne-Rhône-Alpes;C;B1
74007;Amancy;74;Auvergne-Rhône-Alpes;B1;A
